,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-15,0.154,0.2746,0.3951,0.5223,0.6071,0.6652,0.7009,0.7388,0.7411,0.7455,0.7545,0.7277,0.7009,0.6763,0.6228,0.5804,0.5268,0.4754,0.4196,0.3348,0.2567,0.1964,0.154,0.0781
RUN:SE3:2026-06-15,0.0915,0.1964,0.3058,0.3951,0.4665,0.5424,0.6004,0.6406,0.6942,0.7366,0.7545,0.7589,0.7545,0.7232,0.6674,0.6071,0.5357,0.4397,0.3839,0.3348,0.2768,0.1897,0.1295,0.0647
RUN:SE5:2026-06-15,0.1165,0.2168,0.3477,0.4659,0.5717,0.6846,0.7814,0.853,0.8996,0.9229,0.9588,0.9767,1.0,0.9982,0.9946,1.0,0.9642,0.8853,0.7957,0.6882,0.5376,0.405,0.2688,0.1559
RUN:SE7:2026-06-15,0.0358,0.0681,0.1237,0.1882,0.2384,0.2939,0.3584,0.3961,0.4516,0.4857,0.5251,0.5753,0.5878,0.6183,0.6219,0.6237,0.6219,0.5968,0.5609,0.5341,0.4713,0.3746,0.2832,0.1541
