,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-15,0.1339,0.2612,0.3728,0.4978,0.5804,0.6406,0.6808,0.7254,0.7321,0.7366,0.75,0.7232,0.6964,0.6719,0.6116,0.5603,0.5089,0.4643,0.4129,0.3304,0.25,0.1875,0.1429,0.0759
RUN:SE3:2026-06-15,0.0915,0.1897,0.3013,0.3906,0.4688,0.5469,0.6094,0.6518,0.7143,0.7567,0.7768,0.7746,0.7679,0.7366,0.6696,0.6004,0.5268,0.4375,0.3705,0.317,0.2589,0.1763,0.1183,0.0603
RUN:SE5:2026-06-15,0.1165,0.2258,0.3602,0.4767,0.5663,0.6846,0.7921,0.8728,0.9265,0.9516,0.9857,0.9982,1.0,0.9982,0.9982,1.0,0.9731,0.8943,0.8082,0.6989,0.5556,0.4086,0.276,0.1649
RUN:SE7:2026-06-15,0.0341,0.0681,0.1201,0.1774,0.2276,0.2796,0.3423,0.3763,0.4373,0.4731,0.5161,0.5699,0.5842,0.6147,0.6237,0.6219,0.6237,0.5896,0.5538,0.5358,0.457,0.371,0.2778,0.1523
