,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-21,0.183,0.3415,0.4554,0.5714,0.6719,0.7344,0.7433,0.7701,0.7634,0.7701,0.7768,0.7701,0.7433,0.7321,0.6853,0.6295,0.5335,0.4777,0.4174,0.3527,0.2634,0.183,0.1161,0.0469
RUN:SE3:2026-06-21,0.1295,0.2232,0.3259,0.4263,0.4978,0.5826,0.6429,0.6942,0.7232,0.7567,0.779,0.7723,0.7634,0.7366,0.6607,0.5848,0.5156,0.4576,0.3728,0.3147,0.2589,0.1987,0.125,0.058
RUN:SE5:2026-06-21,0.1344,0.2401,0.3656,0.4946,0.586,0.6685,0.7652,0.8477,0.9373,0.9749,0.9982,0.9892,0.9982,1.0,1.0,0.9982,0.9498,0.8799,0.7814,0.6738,0.5287,0.4014,0.2724,0.1398
RUN:SE7:2026-06-21,0.0484,0.095,0.1577,0.2079,0.2527,0.3136,0.3799,0.4462,0.4803,0.509,0.552,0.5914,0.6183,0.6362,0.6398,0.6756,0.6703,0.6685,0.6254,0.5789,0.5215,0.4032,0.31,0.1631
