,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-21,0.1897,0.3549,0.471,0.5826,0.6786,0.7366,0.7433,0.7656,0.7679,0.7768,0.7902,0.7879,0.7589,0.7478,0.7009,0.654,0.558,0.5,0.4375,0.3705,0.2812,0.2076,0.1339,0.0603
RUN:SE3:2026-06-21,0.1272,0.221,0.3326,0.433,0.4978,0.5871,0.6406,0.6853,0.7232,0.7589,0.7812,0.779,0.7634,0.7366,0.6652,0.6049,0.5357,0.4665,0.3862,0.3304,0.2746,0.1987,0.1295,0.0603
RUN:SE5:2026-06-21,0.1434,0.2527,0.3746,0.5161,0.6201,0.7168,0.8011,0.8638,0.9283,0.9606,0.9857,0.9821,1.0,1.0,1.0,1.0,0.9659,0.9014,0.7885,0.6918,0.543,0.4176,0.2796,0.1362
RUN:SE7:2026-06-21,0.052,0.1039,0.1685,0.2222,0.267,0.328,0.3925,0.448,0.4821,0.5054,0.5448,0.5806,0.6075,0.6219,0.6237,0.6595,0.6577,0.6541,0.6272,0.586,0.5341,0.414,0.3136,0.1685
