,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-14,0.1518,0.2812,0.4219,0.5156,0.5714,0.6518,0.6786,0.7277,0.7545,0.7679,0.7656,0.7522,0.7411,0.7188,0.6585,0.6138,0.5491,0.4777,0.4308,0.3326,0.2634,0.192,0.1205,0.0737
RUN:SE3:2026-06-14,0.1094,0.2522,0.3348,0.4397,0.5112,0.596,0.6741,0.7188,0.7411,0.7612,0.779,0.7835,0.7902,0.7701,0.6696,0.6205,0.5647,0.4888,0.4152,0.3482,0.2701,0.2143,0.1272,0.067
RUN:SE5:2026-06-14,0.1452,0.2634,0.4373,0.5305,0.6147,0.7366,0.8118,0.8817,0.9086,0.957,0.9839,0.9982,1.0,0.9964,1.0,1.0,0.9767,0.9032,0.8154,0.7204,0.6039,0.4767,0.3136,0.1685
RUN:SE7:2026-06-14,0.0341,0.0789,0.1487,0.2204,0.276,0.3262,0.3961,0.4516,0.4695,0.5143,0.5412,0.5699,0.5896,0.5878,0.5824,0.5824,0.586,0.5717,0.552,0.509,0.4659,0.3746,0.2616,0.1559
