,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-14,0.1406,0.2679,0.4018,0.5022,0.5603,0.6473,0.6786,0.721,0.7411,0.7545,0.7545,0.7411,0.7299,0.7009,0.6339,0.5871,0.5223,0.4598,0.4174,0.3304,0.2567,0.1786,0.1116,0.067
RUN:SE3:2026-06-14,0.1071,0.2455,0.3281,0.433,0.5067,0.5938,0.6719,0.7165,0.7478,0.7701,0.7835,0.7812,0.7835,0.7612,0.6562,0.6094,0.558,0.4777,0.4085,0.3237,0.2478,0.1942,0.125,0.0647
RUN:SE5:2026-06-14,0.1308,0.2491,0.4194,0.5143,0.5968,0.7168,0.7814,0.8387,0.905,0.9606,1.0,0.9928,1.0,1.0,1.0,1.0,0.9749,0.8961,0.8172,0.7151,0.5842,0.4534,0.2903,0.1541
RUN:SE7:2026-06-14,0.0323,0.0771,0.138,0.2043,0.2616,0.3136,0.3853,0.4409,0.4695,0.5161,0.5502,0.5896,0.6129,0.6165,0.6075,0.6075,0.6147,0.5968,0.5645,0.5072,0.4552,0.3566,0.2455,0.1398
