,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-27,0.1562,0.2835,0.4085,0.5156,0.5804,0.6496,0.6629,0.6987,0.7031,0.7121,0.7143,0.6964,0.6853,0.6741,0.6004,0.5603,0.5,0.4241,0.3683,0.2946,0.2344,0.183,0.1094,0.0558
RUN:SE3:2026-06-27,0.125,0.25,0.375,0.4554,0.5246,0.5938,0.6696,0.7143,0.7411,0.7612,0.7746,0.7679,0.7812,0.7612,0.6763,0.6004,0.529,0.442,0.375,0.3214,0.2656,0.2009,0.1429,0.0759
RUN:SE5:2026-06-27,0.1416,0.2975,0.3996,0.4982,0.6022,0.6935,0.7939,0.8781,0.9552,0.9803,0.9928,1.0,1.0,1.0,0.9982,1.0,0.9659,0.8781,0.7814,0.6756,0.5627,0.414,0.2867,0.1452
RUN:SE7:2026-06-27,0.0466,0.1039,0.1559,0.1989,0.2599,0.3047,0.3835,0.4659,0.5,0.5591,0.586,0.6039,0.638,0.6487,0.6541,0.6738,0.6649,0.6326,0.5914,0.5412,0.4767,0.3996,0.3011,0.1541
