,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-27,0.1674,0.2969,0.4129,0.5134,0.5893,0.6585,0.6674,0.7031,0.7165,0.7366,0.7366,0.7165,0.7076,0.6964,0.6295,0.5848,0.5179,0.4442,0.3884,0.317,0.2589,0.2009,0.125,0.0603
RUN:SE3:2026-06-27,0.1183,0.2478,0.3683,0.4464,0.5134,0.5826,0.6518,0.692,0.7121,0.7277,0.7522,0.7567,0.7656,0.7388,0.6585,0.5893,0.5201,0.4442,0.3728,0.3214,0.2612,0.2031,0.1384,0.0737
RUN:SE5:2026-06-27,0.1416,0.2885,0.3978,0.4928,0.6004,0.7025,0.8082,0.8656,0.9301,0.9534,0.9821,1.0,1.0,0.9928,0.9964,1.0,0.9713,0.8996,0.8082,0.6953,0.5735,0.4301,0.2921,0.1487
RUN:SE7:2026-06-27,0.0538,0.1147,0.1685,0.2133,0.2724,0.3208,0.4032,0.4695,0.4964,0.5502,0.5771,0.5878,0.6129,0.6219,0.6201,0.6344,0.6201,0.5986,0.5681,0.5287,0.4713,0.3996,0.3029,0.1613
