,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-05-31,0.1652,0.3259,0.4353,0.5491,0.6339,0.7098,0.7232,0.7478,0.7612,0.7634,0.7567,0.7478,0.721,0.6987,0.6406,0.5915,0.5446,0.4799,0.4353,0.3594,0.279,0.2054,0.1384,0.0692
RUN:SE3:2026-05-31,0.1228,0.2054,0.3036,0.3996,0.5,0.5714,0.6429,0.6808,0.7098,0.7344,0.7478,0.7612,0.7455,0.721,0.6763,0.5938,0.5179,0.4442,0.3906,0.3147,0.2433,0.1763,0.1183,0.0714
RUN:SE5:2026-05-31,0.1613,0.2832,0.3961,0.5143,0.6147,0.7007,0.767,0.862,0.9104,0.9767,1.0,0.9982,1.0,1.0,0.9982,1.0,0.9695,0.8799,0.7957,0.6918,0.5753,0.4283,0.2957,0.1362
RUN:SE7:2026-05-31,0.0556,0.0968,0.1398,0.2043,0.2616,0.319,0.3835,0.448,0.509,0.5735,0.5968,0.6183,0.6505,0.6738,0.6953,0.7115,0.6649,0.6559,0.6237,0.5699,0.509,0.4068,0.2921,0.1559
