,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-05-20,0.1496,0.317,0.4375,0.5424,0.6295,0.7076,0.7388,0.7634,0.7701,0.7656,0.7567,0.75,0.7344,0.721,0.6763,0.6384,0.5804,0.5134,0.4464,0.3906,0.2812,0.2143,0.1384,0.0714
RUN:SE3:2026-05-20,0.1161,0.2299,0.3281,0.3973,0.5022,0.5781,0.6138,0.6786,0.683,0.7254,0.7478,0.7567,0.7522,0.7321,0.6652,0.6094,0.5335,0.4933,0.4107,0.3504,0.2812,0.2076,0.1228,0.0625
RUN:SE5:2026-05-20,0.1111,0.2473,0.3656,0.4713,0.6057,0.7222,0.8118,0.8728,0.8817,0.9301,0.9731,0.991,1.0,1.0,0.9982,0.9928,0.957,0.8871,0.8154,0.7133,0.5896,0.4731,0.2993,0.1416
RUN:SE7:2026-05-20,0.0573,0.1111,0.147,0.1935,0.2294,0.267,0.3297,0.3907,0.4534,0.5072,0.5412,0.5538,0.6004,0.6237,0.6219,0.6201,0.6147,0.5842,0.5735,0.5143,0.4642,0.414,0.2885,0.1703
