,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-05-20,0.1473,0.3058,0.4219,0.5223,0.6161,0.6942,0.7232,0.7478,0.7522,0.7478,0.7321,0.7232,0.7076,0.6942,0.6473,0.6027,0.5469,0.4821,0.4174,0.3683,0.2701,0.2031,0.1295,0.0692
RUN:SE3:2026-05-20,0.1161,0.2321,0.3326,0.3996,0.5,0.5714,0.6116,0.6674,0.6741,0.7188,0.7411,0.7478,0.7433,0.7232,0.6607,0.6094,0.529,0.4866,0.4107,0.3549,0.2857,0.2009,0.1205,0.0625
RUN:SE5:2026-05-20,0.1111,0.2473,0.3656,0.4642,0.5986,0.7079,0.7903,0.8548,0.8853,0.9427,0.9875,0.991,0.9982,1.0,1.0,1.0,0.9659,0.8925,0.8154,0.6971,0.5735,0.4695,0.3029,0.1434
RUN:SE7:2026-05-20,0.052,0.0968,0.1308,0.1756,0.2115,0.2545,0.3262,0.3853,0.4498,0.509,0.5502,0.5717,0.6165,0.6362,0.6344,0.6326,0.6308,0.6004,0.586,0.5161,0.448,0.3925,0.276,0.1631
