,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SE1_2026-02-14,0.442,0.442,0.5134,0.6049,0.6049,0.7344,0.9018,0.9018,0.9018,0.9018,0.9554,0.9665,0.9621,0.9286,0.9286,0.9129,0.8616,0.8371,0.8371,0.8058,0.7679,0.6674,0.5335,0.5335
SE3_2026-02-14,0.5045,0.5045,0.5871,0.6763,0.6763,0.8281,0.9129,0.9129,0.9129,0.9129,0.9353,0.9129,0.9174,0.8795,0.8795,0.9174,0.8638,0.8817,0.8817,0.7969,0.7679,0.6719,0.5179,0.5179
SE5_2026-02-14,0.4659,0.4946,0.5609,0.6398,0.6613,0.8118,0.9014,0.9229,0.9391,0.948,0.948,0.9731,0.9875,0.9892,0.9928,0.9857,0.957,0.9462,0.9552,0.8297,0.7993,0.7079,0.5735,0.5233
SE7_2026-02-14,0.4606,0.5108,0.5699,0.6398,0.6523,0.7724,0.8817,0.9158,0.9283,0.9319,0.9516,0.9749,0.9749,0.9767,0.9839,0.9857,0.948,0.9265,0.9086,0.8208,0.8029,0.7258,0.5914,0.5394
