,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
SE1_2026-02-14,0.4174,0.4174,0.4777,0.567,0.567,0.6942,0.8638,0.8638,0.8638,0.8638,0.9196,0.9375,0.9375,0.8906,0.8906,0.8728,0.808,0.7835,0.7835,0.7589,0.7188,0.6205,0.4911,0.4911
SE3_2026-02-14,0.4888,0.4888,0.567,0.6451,0.6451,0.7969,0.8862,0.8862,0.8862,0.8862,0.8973,0.8817,0.8839,0.8549,0.8549,0.8929,0.8304,0.8527,0.8527,0.7746,0.7411,0.6496,0.4978,0.4978
SE5_2026-02-14,0.4355,0.4677,0.5287,0.6129,0.6344,0.776,0.8728,0.8925,0.9068,0.9211,0.9283,0.9534,0.9785,0.9785,0.9803,0.9803,0.9462,0.9301,0.9373,0.8065,0.7724,0.6918,0.5609,0.5125
SE7_2026-02-14,0.448,0.4928,0.5341,0.6075,0.6201,0.7437,0.8674,0.9014,0.9122,0.914,0.9265,0.9498,0.9444,0.9355,0.9534,0.9444,0.8978,0.8728,0.853,0.7616,0.7437,0.6703,0.5466,0.5054
