,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-08,0.1473,0.2746,0.3973,0.4933,0.5915,0.6384,0.6674,0.6964,0.6897,0.7009,0.7098,0.6942,0.6763,0.6518,0.6004,0.5446,0.5045,0.4353,0.3839,0.3192,0.2567,0.1897,0.1384,0.0804
RUN:SE3:2026-06-08,0.1027,0.2165,0.3147,0.4263,0.5067,0.5826,0.6451,0.6786,0.6987,0.7121,0.7344,0.7478,0.7567,0.7388,0.6741,0.6295,0.5491,0.4821,0.4219,0.3371,0.2835,0.2076,0.1205,0.0714
RUN:SE5:2026-06-08,0.129,0.2419,0.3566,0.4875,0.6219,0.6989,0.7903,0.8548,0.9265,0.9677,0.9928,0.9839,1.0,1.0,0.9928,1.0,0.9391,0.8548,0.7814,0.6738,0.5287,0.3961,0.2796,0.138
RUN:SE7:2026-06-08,0.0448,0.0932,0.1416,0.2043,0.2581,0.2814,0.3656,0.4211,0.4767,0.5269,0.5609,0.6111,0.6362,0.6703,0.6846,0.6918,0.7007,0.6828,0.6344,0.5699,0.4982,0.3978,0.2742,0.1308
