,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-06-08,0.1473,0.2746,0.3906,0.4911,0.6027,0.6451,0.683,0.7098,0.7031,0.7143,0.7254,0.7076,0.6875,0.6674,0.6205,0.5692,0.5223,0.4509,0.3996,0.3326,0.2679,0.1942,0.1429,0.0871
RUN:SE3:2026-06-08,0.1116,0.2321,0.3348,0.4464,0.5179,0.6004,0.6562,0.6808,0.6942,0.7054,0.7321,0.7522,0.7634,0.7455,0.6786,0.6317,0.5402,0.4777,0.4286,0.3438,0.2857,0.2054,0.1205,0.0692
RUN:SE5:2026-06-08,0.138,0.2563,0.371,0.4946,0.6219,0.6918,0.7885,0.8602,0.9104,0.9373,0.9659,0.9857,1.0,0.9928,1.0,0.9982,0.9427,0.8763,0.8065,0.6953,0.5484,0.414,0.2778,0.1326
RUN:SE7:2026-06-08,0.0484,0.1039,0.1541,0.2151,0.276,0.3047,0.3853,0.4409,0.4892,0.5215,0.5538,0.6022,0.6254,0.647,0.6541,0.6667,0.6738,0.6631,0.6272,0.5663,0.5036,0.4086,0.2849,0.1398
