,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-05-19,0.1629,0.2835,0.3929,0.4866,0.5491,0.6183,0.6585,0.692,0.692,0.7031,0.7143,0.7076,0.6897,0.6741,0.6429,0.5804,0.5246,0.4554,0.3996,0.3259,0.2567,0.2009,0.1496,0.0714
RUN:SE3:2026-05-19,0.1027,0.2366,0.3415,0.442,0.5379,0.5871,0.6205,0.6629,0.7031,0.7277,0.7478,0.7545,0.7254,0.7165,0.654,0.5826,0.5112,0.4531,0.3571,0.2969,0.2232,0.1696,0.1071,0.0737
RUN:SE5:2026-05-19,0.1219,0.2473,0.3871,0.5036,0.6039,0.6989,0.7814,0.8674,0.9176,0.9713,0.991,1.0,0.9982,1.0,0.9982,1.0,0.9498,0.8692,0.7867,0.69,0.5663,0.4301,0.2957,0.1703
RUN:SE7:2026-05-19,0.0502,0.0896,0.1416,0.181,0.2133,0.2509,0.3154,0.3638,0.4265,0.4892,0.5591,0.6004,0.6272,0.647,0.6774,0.6613,0.6541,0.629,0.5896,0.5376,0.4624,0.3835,0.2634,0.147
