,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-05-19,0.1629,0.2879,0.3951,0.4911,0.567,0.6362,0.6696,0.7031,0.7076,0.7165,0.7299,0.7188,0.7031,0.6942,0.6674,0.5982,0.5513,0.4821,0.4196,0.3438,0.2768,0.2143,0.1607,0.0804
RUN:SE3:2026-05-19,0.1094,0.2545,0.3549,0.4531,0.5424,0.5938,0.6205,0.6629,0.7031,0.7254,0.7455,0.7522,0.7254,0.721,0.6652,0.6049,0.5402,0.4799,0.3772,0.3214,0.2478,0.1875,0.1138,0.0759
RUN:SE5:2026-05-19,0.1398,0.2652,0.4122,0.5323,0.629,0.7115,0.7903,0.8566,0.8996,0.9462,0.9659,0.9892,1.0,1.0,1.0,0.9982,0.9516,0.8763,0.7993,0.7025,0.5663,0.4337,0.2993,0.1703
RUN:SE7:2026-05-19,0.0448,0.0842,0.1362,0.1792,0.2115,0.2491,0.3172,0.3638,0.4229,0.4749,0.5341,0.5753,0.6022,0.6219,0.6505,0.6362,0.629,0.6093,0.5753,0.5269,0.4624,0.3853,0.2634,0.1416
