,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
RUN:SE1:2026-05-31,0.1786,0.3438,0.4464,0.5603,0.6562,0.7366,0.7411,0.7701,0.779,0.7812,0.7768,0.7656,0.7366,0.7165,0.6652,0.6138,0.5714,0.5112,0.4598,0.3817,0.2991,0.221,0.1496,0.0714
RUN:SE3:2026-05-31,0.1339,0.2121,0.3103,0.4018,0.5067,0.5826,0.6518,0.6853,0.7121,0.7388,0.7522,0.7634,0.75,0.7299,0.6853,0.6138,0.5424,0.4688,0.4196,0.3393,0.2656,0.1897,0.125,0.0759
RUN:SE5:2026-05-31,0.1649,0.2814,0.3961,0.5161,0.6219,0.6989,0.7616,0.8477,0.8961,0.9391,0.9642,0.9839,1.0,1.0,1.0,0.9964,0.9767,0.8799,0.8118,0.7025,0.5932,0.4427,0.3065,0.147
RUN:SE7:2026-05-31,0.0556,0.0968,0.1398,0.2097,0.2634,0.3262,0.3871,0.4444,0.4982,0.552,0.5681,0.5878,0.6183,0.6344,0.6541,0.6685,0.629,0.6219,0.5968,0.5502,0.5,0.4122,0.2903,0.1523
